country,search_keyword,title,company,location,salary_min,salary_max,contract_type,created,description,url,skill_python,skill_sql,skill_power_bi,skill_excel,skill_tableau,skill_spark,skill_airflow,skill_snowflake,skill_aws,skill_azure,skill_r,skill_sas
fr,data analyst,Data analyst (f/h) (CDI),MICHAEL PAGE,"Éguilles, Pélissanne",,,permanent,2026-06-30 07:28:19+00:00,"l'entreprise opère dans un environnement multi-entités à forte dynamique de croissance, combinant activités commerciales, relation client, finance et usages digitaux. elle engage une transformation profonde de son écosystème data afin de moderniser une stack devenue obsolète et de répondre à des enjeux croissants de pilotage, de fiabilité financière et d'alignement stratégique. l'ambition est de structurer une plateforme data robuste, scalable et gouvernée, capable de réduire les doublons, d'un…",https://www.adzuna.fr/land/ad/5781814136?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=E4304DDCA9C45896DDDBEBC2C6BEC096E151484B,False,False,False,False,False,False,False,False,False,False,False,False
fr,data analyst,Data Analyst,Microsoft Learn Student Club VIT Pune,"Paris, Ile-de-France",,,,2026-06-20 12:25:52+00:00," we’re hiring: data analyst   love turning data into actionable insights? join our team as a data analyst and help drive smarter business decisions through data-driven strategies!  position: data analyst  remote / hybrid opportunities available  excellent career growth potential  competitive salary & benefits  what you'll do:  collect, clean, and analyze large datasets  identify trends, patterns, and business opportunities  create reports, dashboards, and visualizations  provide actionable insi…",https://www.adzuna.fr/land/ad/5770546535?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=F18F2E60A52FCCFA2FFD7A462AFDC82551ABD19D,False,False,False,False,False,False,False,False,False,False,False,False
fr,data analyst,Data Analyst / Data Scientist,Momentum One Zero,"Paris, Ile-de-France",,,,2026-06-27 12:05:58+00:00,"data analyst / data scientist  location: france (on-site / hybrid / remote options available) we are looking for a data analyst / data scientist to support data-driven decision-making through analysis, modeling, and insights generation. this role is ideal for candidates with a strong analytical mindset who enjoy working with data to solve real-world problems. key responsibilities collect, clean, and analyze structured and unstructured data develop reports, dashboards, and data visualizations bu…",https://www.adzuna.fr/land/ad/5778953048?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=818E709A4D5B7AFF59BC98E71DA2345858F02EE4,False,False,False,False,False,False,False,False,False,False,False,False
fr,data analyst,Data Analyst (H/F) (Intérim),Robert Walters,"1er Arrondissement, Paris",,,contract,2026-06-29 23:34:21+00:00,"acteur majeur de l'assurance en europe, cette compagnie bénéficie d'une solide expertise dans la protection des particuliers et des professionnels. reconnue pour sa stabilité financière, sa capacité d'innovation et la qualité de son accompagnement, elle propose une large gamme de solutions en assurance de biens, de personnes et de prévoyance. nous recrutons un data analyst (h/f) pour un contrat d'intérim de 6 mois. le poste est basé à paris. vous travaillerez pour un acteur majeur du monde de l…",https://www.adzuna.fr/land/ad/5781450696?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=278326C99F1B7D2AF7AFDA1889B3A744EAFFB5D5,False,False,False,False,False,False,False,False,False,False,False,False
fr,data analyst,Data Analyst (H/F) (CDI),Nacimut,"Poissy, Saint-Germain-en-Laye",,,permanent,2026-06-23 18:40:25+00:00,"notre client est une maison française, reconnue pour ses produits iconiques dans l'univers des arts de la table, distribués en france et à l'international. dans le cadre de sa transformation digitale, l'entreprise structure un socle décisionnel ambitieux : architecture bi sur oracle, restitution power bi, et intégration d'assistants ia dans les usages métiers. rattaché(e) à la direction financière et sous l'encadrement fonctionnel du consultant bi référent du projet data, vous venez renforcer l…",https://www.adzuna.fr/land/ad/5773768788?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=FB17CB97FA18B21CE9F103AB73E297BC85E5A855,False,False,True,False,False,False,False,False,False,False,False,False
fr,data analyst,Data analyst h/f (CDI),Mercato de l'emploi,"Deux-Sèvres, Nouvelle-Aquitaine",,,permanent,2026-06-19 19:23:53+00:00,"offre – data analyst (h/f) cdi cadre – niort qui sommes-nous ? entreprise du numérique à taille humaine, nous accompagnons nos clients dans leurs projets de transformation des systèmes d'information. nos équipes interviennent en conseil, amoa et pilotage de projets, sur l'optimisation des processus métiers et l'accompagnement du changement, dans un esprit de confiance, d'entraide et de proximité. nous développons une practice data et ia avec un objectif clair : transformer la donnée en décision…",https://www.adzuna.fr/land/ad/5769488559?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=5AD64653ABD86CEC346006202AEDEA3A852D322F,False,False,False,False,False,False,False,False,False,False,False,False
fr,data analyst,Junior Data Analyst,Just Aspire,"Paris, Ile-de-France",,,,2026-06-26 12:00:38+00:00,"junior data analyst  location: france (on-site / hybrid / remote options available) we are looking for a motivated junior data analyst to support data analysis, reporting, and business insights. this role is ideal for recent graduates or early-career candidates who are interested in working with data and developing analytical skills in a professional environment. key responsibilities collect, clean, and organize data from multiple sources assist in preparing reports, dashboards, and visualizati…",https://www.adzuna.fr/land/ad/5777536576?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=652DE1289617DB55E5A05C816853D61E63AF64AB,False,False,False,False,False,False,False,False,False,False,False,False
fr,data analyst,Senior Data Analyst,BULLIT MANAGEMENT SERVICES LIMITED,"Vitrolles, Istres",,,,2026-06-20 12:25:47+00:00,"technical skills: • proficiency in microsoft office suite (excel, word) / google suite (doc, sheets, drive). • professional working proficiency in english (written and spoken). • expert in excel user (tcd, filtering, data comparison) • knowledge of sap ec2 transaction • business fluent in english, french",https://www.adzuna.fr/land/ad/5770546203?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=D8789CA831B318CFC6F77DC803712D5EEA3B1E63,False,False,False,True,False,False,False,False,False,False,False,False
fr,data analyst,Data Analyst H/F,Expleo Group,"Montigny-le-Bretonneux, Versailles",,,,2026-06-20 12:20:55+00:00,"au sein de l’équipe products systems engineering, rattaché à l’agence de saint quentin, vous occuperez le rôle data analyst h/f. dans le cadre du développement de nos activités du secteur aéronautique, vous êtes en charge de l'automatisation des processus pour fournir des solutions efficaces et des visualisations claires. missions identifier les données pertinentes, définir le problème avec les instruments métiers, et proposer des solutions adaptées. implémenter des scripts pour extraire, trans…",https://www.adzuna.fr/land/ad/5770531845?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=1865530CAAF7837B7CCEDD100598E0E8168DACF2,False,False,False,False,False,False,False,False,False,False,False,False
fr,data analyst,Data Analyst H/F,Expleo Group,France,,,,2026-06-28 11:52:18+00:00,"au sein de l’équipe products systems engineering, rattaché à l’agence de toulouse, vous occuperez le rôle data analyst h/f. dans le cadre du développement de nos activités du secteur aéronautique, vous êtes en charge de l'automatisation des processus pour fournir des solutions efficaces et des visualisations claires. missions identifier les données pertinentes, définir le problème avec les instruments métiers, et proposer des solutions adaptées. implémenter des scripts pour extraire, transforme…",https://www.adzuna.fr/land/ad/5780122413?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=2F048EB79EC58795F4EAE26A91BFF6DB532E0771,False,False,False,False,False,False,False,False,False,False,False,False
