country,search_keyword,title,company,location,salary_min,salary_max,contract_type,created,description,url
fr,data analyst,Data analyst (f/h) (CDI),MICHAEL PAGE,"Éguilles, Pélissanne",,,permanent,2026-06-30T07:28:19Z,"L'entreprise opère dans un environnement multi-entités à forte dynamique de croissance, combinant activités commerciales, relation client, finance et usages digitaux. Elle engage une transformation profonde de son écosystème data afin de moderniser une stack devenue obsolète et de répondre à des enjeux croissants de pilotage, de fiabilité financière et d'alignement stratégique. L'ambition est de structurer une plateforme data robuste, scalable et gouvernée, capable de réduire les doublons, d'un…",https://www.adzuna.fr/land/ad/5781814136?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=E4304DDCA9C45896DDDBEBC2C6BEC096E151484B
fr,data analyst,Data Analyst,Microsoft Learn Student Club VIT Pune,"Paris, Ile-de-France",,,,2026-06-20T12:25:52Z," WE’RE HIRING: Data Analyst   Love turning data into actionable insights? Join our team as a Data Analyst and help drive smarter business decisions through data-driven strategies!  Position: Data Analyst  Remote / Hybrid Opportunities Available  Excellent Career Growth Potential  Competitive Salary & Benefits  What You'll Do:  Collect, clean, and analyze large datasets  Identify trends, patterns, and business opportunities  Create reports, dashboards, and visualizations  Provide actionable insi…",https://www.adzuna.fr/land/ad/5770546535?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=F18F2E60A52FCCFA2FFD7A462AFDC82551ABD19D
fr,data analyst,Data Analyst / Data Scientist,Momentum One Zero,"Paris, Ile-de-France",,,,2026-06-27T12:05:58Z,"Data Analyst / Data Scientist  Location: France (On-site / Hybrid / Remote options available) We are looking for a Data Analyst / Data Scientist to support data-driven decision-making through analysis, modeling, and insights generation. This role is ideal for candidates with a strong analytical mindset who enjoy working with data to solve real-world problems. Key Responsibilities Collect, clean, and analyze structured and unstructured data Develop reports, dashboards, and data visualizations Bu…",https://www.adzuna.fr/land/ad/5778953048?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=818E709A4D5B7AFF59BC98E71DA2345858F02EE4
fr,data analyst,Data Analyst (H/F) (Intérim),Robert Walters,"1er Arrondissement, Paris",,,contract,2026-06-29T23:34:21Z,"Acteur majeur de l'assurance en Europe, cette compagnie bénéficie d'une solide expertise dans la protection des particuliers et des professionnels. Reconnue pour sa stabilité financière, sa capacité d'innovation et la qualité de son accompagnement, elle propose une large gamme de solutions en assurance de biens, de personnes et de prévoyance. Nous recrutons un Data Analyst (H/F) pour un contrat d'intérim de 6 mois. Le poste est basé à Paris. Vous travaillerez pour un acteur majeur du monde de l…",https://www.adzuna.fr/land/ad/5781450696?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=278326C99F1B7D2AF7AFDA1889B3A744EAFFB5D5
fr,data analyst,Data Analyst (H/F) (CDI),Nacimut,"Poissy, Saint-Germain-en-Laye",,,permanent,2026-06-23T18:40:25Z,"Notre client est une maison française, reconnue pour ses produits iconiques dans l'univers des arts de la table, distribués en France et à l'international. Dans le cadre de sa transformation digitale, l'entreprise structure un socle décisionnel ambitieux : architecture BI sur Oracle, restitution Power BI, et intégration d'assistants IA dans les usages métiers. Rattaché(e) à la Direction Financière et sous l'encadrement fonctionnel du consultant BI référent du projet Data, vous venez renforcer l…",https://www.adzuna.fr/land/ad/5773768788?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=FB17CB97FA18B21CE9F103AB73E297BC85E5A855
fr,data analyst,Data analyst h/f (CDI),Mercato de l'emploi,"Deux-Sèvres, Nouvelle-Aquitaine",,,permanent,2026-06-19T19:23:53Z,"OFFRE – DATA ANALYST (H/F) CDI cadre – Niort Qui sommes-nous ? Entreprise du numérique à taille humaine, nous accompagnons nos clients dans leurs projets de transformation des systèmes d'information. Nos équipes interviennent en conseil, AMOA et pilotage de projets, sur l'optimisation des processus métiers et l'accompagnement du changement, dans un esprit de confiance, d'entraide et de proximité. Nous développons une practice Data et IA avec un objectif clair : transformer la donnée en décision…",https://www.adzuna.fr/land/ad/5769488559?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=5AD64653ABD86CEC346006202AEDEA3A852D322F
fr,data analyst,Junior Data Analyst,Just Aspire,"Paris, Ile-de-France",,,,2026-06-26T12:00:38Z,"Junior Data Analyst  Location: France (On-site / Hybrid / Remote options available) We are looking for a motivated Junior Data Analyst to support data analysis, reporting, and business insights. This role is ideal for recent graduates or early-career candidates who are interested in working with data and developing analytical skills in a professional environment. Key Responsibilities Collect, clean, and organize data from multiple sources Assist in preparing reports, dashboards, and visualizati…",https://www.adzuna.fr/land/ad/5777536576?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=652DE1289617DB55E5A05C816853D61E63AF64AB
fr,data analyst,Senior Data Analyst,BULLIT MANAGEMENT SERVICES LIMITED,"Vitrolles, Istres",,,,2026-06-20T12:25:47Z,"Technical Skills: • Proficiency in Microsoft Office Suite (Excel, Word) / Google Suite (Doc, Sheets, Drive). • Professional working proficiency in English (written and spoken). • Expert in Excel user (TCD, filtering, data comparison) • Knowledge of SAP EC2 transaction • Business Fluent in English, French",https://www.adzuna.fr/land/ad/5770546203?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=D8789CA831B318CFC6F77DC803712D5EEA3B1E63
fr,data analyst,Data Analyst H/F,Expleo Group,"Montigny-le-Bretonneux, Versailles",,,,2026-06-20T12:20:55Z,"Au sein de l’équipe Products Systems Engineering, rattaché à l’agence de Saint Quentin, vous occuperez le rôle Data Analyst H/F. Dans le cadre du développement de nos activités du secteur aéronautique, vous êtes en charge de l'automatisation des processus pour fournir des solutions efficaces et des visualisations claires. Missions Identifier les données pertinentes, définir le problème avec les instruments métiers, et proposer des solutions adaptées. Implémenter des scripts pour extraire, trans…",https://www.adzuna.fr/land/ad/5770531845?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=1865530CAAF7837B7CCEDD100598E0E8168DACF2
fr,data analyst,Data Analyst H/F,Expleo Group,France,,,,2026-06-28T11:52:18Z,"Au sein de l’équipe Products Systems Engineering, rattaché à l’agence de Toulouse, vous occuperez le rôle Data Analyst H/F. Dans le cadre du développement de nos activités du secteur aéronautique, vous êtes en charge de l'automatisation des processus pour fournir des solutions efficaces et des visualisations claires. Missions Identifier les données pertinentes, définir le problème avec les instruments métiers, et proposer des solutions adaptées. Implémenter des scripts pour extraire, transforme…",https://www.adzuna.fr/land/ad/5780122413?se=5GyfEa908RGpTcCyz6jaTQ&utm_medium=api&utm_source=6c368b7e&v=2F048EB79EC58795F4EAE26A91BFF6DB532E0771
